"Url","Status","MatchedPath","X_Vercel_Cache","Age","CacheControl"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-633-plain-poplin-cotton-125gsm-mercerized-silicon-deep-olive-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-teal-plain-poplin-cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-mustard-plain-100cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-camel-plain-100cotton-125gsm-mercerized-camel","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-612-plain-poplin-100cotton-125gsm-mercerized-caramel","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-696-plain-poplin-100cotton-125gsm-deep-pink-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-662-plain-poplin-cotton-125gsm-mercerized-silicon-bright-orange-shirt","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-676-plain-poplin-100cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-coral-plain-poplin-100cotton-125gsm-mercerized-coral","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-rust-plain-poplin-100cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia698-plain-poplin-100cotton-125gsm-mercerized-periwinkle-grey-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-689-plain-poplin-100cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-684-plain-poplin-cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-660-plain-poplin-100-cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-plain-100cotton-125gsm-mercerized-silicon-peacock-blue","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-627-plain-poplin-100cotton-125gsm-olive-green","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-deep-olive-plain-poplin-cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-olive-plain-poplin-100cotton-125gsm-mercerized-silicon-brushed","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-695-plain-poplin-cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-611-plain-poplin-100cotton-125gsm-mercerized-maroon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-686-plain-cotton-125gsm-mercerized-silicon-coffee-brown","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-672-b-plain-poplin-100cotton-125gsm-mercerized-silicon-dark-purple-mens-casual-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-672-a-plain-poplin-100cotton-125gsm-mercerized-purple","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-687-plain-100cotton-125gsm-mercerized-bottle-green-casual-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-688-plain-poplin-100cotton-125gsm-mercerized-silicon","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-678-plain-poplin-100cotton-125gsm-mercerized-navy-shirt","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-608-plain-poplin-cotton-125gsm-mercerized-black","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/fabric/nokia-607-poplin-100c-125gsm-mercerized-white-shirts","HTTP/1.1 200 OK","X-Matched-Path: /fabric/[slug]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/capabilities","HTTP/1.1 200 OK","X-Matched-Path: /capabilities","X-Vercel-Cache: STALE","Age: 462","Cache-Control: public, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog","HTTP/1.1 200 OK","X-Matched-Path: /blog","X-Vercel-Cache: STALE","Age: 202","Cache-Control: public, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/contact","HTTP/1.1 200 OK","X-Matched-Path: /contact","X-Vercel-Cache: STALE","Age: 203","Cache-Control: public, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/is-modern-fabric-technology-making-clothing-better-or-making-consumers-careless-about-quality","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/denim-manufacturers-in-west-bengal-for-garment-bran","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/textile-industry-in-west-bengal-global-market","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/why-quality-mattered-in-the-textile-industry","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/a-complete-guide-to-fabric-types-choosing-the-right-mater","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/blog-details/how-to-choose-the-right-textile-supplier-for-your-business","HTTP/1.1 200 OK","X-Matched-Path: /blog-details/[id]","X-Vercel-Cache: MISS","Age: 0","Cache-Control: private, no-cache, no-store, max-age=0, must-revalidate"
"https://espo-shofy-final-project.vercel.app/about","HTTP/1.1 200 OK","X-Matched-Path: /about","X-Vercel-Cache: HIT","Age: 5","Cache-Control: public, max-age=0, must-revalidate"
